,STATUS,SOC_NAME,POSITION_TYPE,WAGE,YEAR,REGION
267,CERTIFIED,Technical,Y,47570,2011, MID WEST
268,CERTIFIED,Technical,Y,38688,2011, NORTH EAST
269,CERTIFIED,Technical,Y,34080,2011, SOUTH
270,DENIED,Technical,Y,52250,2011, MID WEST
271,DENIED,Technical,Y,18116.8,2011, WEST
272,CERTIFIED,Technical,Y,51854,2011, SOUTH
273,CERTIFIED,Technical,Y,58053,2011, NORTH EAST
274,CERTIFIED,Technical,Y,85259,2011, NORTH EAST
275,CERTIFIED,Technical,Y,62600,2011, SOUTH
276,DENIED,Technical,Y,35560,2011, SOUTH
277,CERTIFIED,Technical,Y,65200,2011, SOUTH
278,CERTIFIED,Technical,Y,48589,2011, SOUTH
279,CERTIFIED,Technical,Y,83762,2011, SOUTH
280,CERTIFIED,Technical,Y,53934,2011, MID WEST
281,CERTIFIED,Technical,N,39832,2011, SOUTH
282,DENIED,Technical,Y,59176,2011, WEST
283,CERTIFIED,Technical,Y,49317,2011, MID WEST
284,CERTIFIED,Technical,Y,61600,2011, MID WEST
285,CERTIFIED,Technical,Y,99382.4,2011, WEST
286,CERTIFIED,Technical,Y,48589,2011, SOUTH
287,CERTIFIED,Technical,Y,52478,2011, NORTH EAST
288,CERTIFIED,Technical,Y,60965,2011, SOUTH
289,CERTIFIED,Technical,Y,43347,2011, NORTH EAST
290,DENIED,Technical,Y,72696,2011, SOUTH
291,CERTIFIED,Technical,Y,43347,2011, NORTH EAST
292,CERTIFIED,Technical,Y,1.00E+05,2011, SOUTH
293,CERTIFIED,Technical,Y,46301,2011, WEST
294,DENIED,Technical,Y,96221,2011, WEST
295,CERTIFIED,Technical,Y,52478,2011, NORTH EAST
296,CERTIFIED,Technical,Y,58115,2011, MID WEST
297,DENIED,Technical,N,72696,2011, SOUTH
298,CERTIFIED,Technical,Y,1.00E+05,2011, SOUTH
299,DENIED,Technical,Y,72696,2011, SOUTH
300,DENIED,Technical,N,72696,2011, SOUTH
301,CERTIFIED,Technical,Y,52561.6,2011, SOUTH
302,CERTIFIED,Technical,Y,65520,2011, SOUTH
303,DENIED,Technical,Y,72696,2011, SOUTH
304,CERTIFIED,Technical,Y,58906,2011, NORTH EAST
305,CERTIFIED,Technical,Y,38563,2011, WEST
306,CERTIFIED,Technical,Y,69950,2011, MID WEST
307,CERTIFIED,Technical,Y,61963,2011, WEST
308,CERTIFIED,Technical,Y,65936,2011, MID WEST
309,CERTIFIED,Technical,Y,79102,2011, WEST
310,DENIED,Technical,Y,76000,2011, SOUTH
311,CERTIFIED,Technical,Y,83595,2011, WEST
312,CERTIFIED,Technical,Y,58157,2011, MID WEST
313,CERTIFIED,Technical,Y,68515,2011, SOUTH
314,CERTIFIED,Technical,Y,63877,2011, MID WEST
315,CERTIFIED,Technical,Y,67163,2011, NORTH EAST
316,CERTIFIED,Technical,Y,45177.6,2011, WEST
317,CERTIFIED,Technical,Y,67101,2011, NORTH EAST
318,CERTIFIED,Technical,Y,57408,2011, NORTH EAST
319,CERTIFIED,Technical,Y,64834,2011, MID WEST
320,CERTIFIED,Technical,Y,89939,2011, NORTH EAST
321,CERTIFIED,Technical,Y,51542,2011, MID WEST
322,CERTIFIED,Technical,Y,65125,2011, NORTH EAST
323,CERTIFIED,Technical,Y,76544,2011, NORTH EAST
324,CERTIFIED,Technical,Y,69430,2011, NORTH EAST
325,CERTIFIED,Technical,Y,62504,2011, SOUTH
326,CERTIFIED,Technical,Y,72800,2011, NORTH EAST
327,CERTIFIED,Technical,Y,49358,2011, SOUTH
328,CERTIFIED,Technical,Y,81744,2011, NORTH EAST
329,CERTIFIED,Technical,Y,62358,2011, MID WEST
330,CERTIFIED,Technical,Y,67163,2011, NORTH EAST
